Date & Time,Home Team,Away Team,Home Score,Away Score,Home Set Scores,Away Set Scores
28.04. 11:00,Monza,Perugia,1,3,25 23 25 20,19 25 27 25
27.04. 13:30,Milano,Trentino,3,1,25 18 25 25,21 25 20 21
27.04. 11:00,Verona,Lube Civitanova,1,3,25 18 24 22,23 25 26 25
25.04. 11:00,Perugia,Monza,3,1,25 25 24 25,15 18 26 19
24.04. 13:30,Trentino,Milano,0,3,22 23 14,25 25 25
22.04. 13:30,Piacenza,Lube Civitanova,2,3,18 24 25 27 12,25 26 21 25 15
22.04. 13:30,Verona,Modena,3,1,25 25 23 25,22 22 25 19
21.04. 08:15,Monza,Perugia,3,2,25 23 21 25 15,20 25 25 19 11
20.04. 13:30,Milano,Trentino,3,2,26 17 25 25 22,24 25 16 27 20
18.04. 13:30,Perugia,Monza,3,1,27 25 23 25,25 18 25 23
17.04. 13:30,Trentino,Milano,3,2,23 25 23 25 15,25 18 25 19 11
17.04. 13:30,Modena,Padova,3,1,25 25 23 25,18 16 25 17
17.04. 13:30,Piacenza,Lube Civitanova,1,3,14 22 25 21,25 25 20 25
17.04. 13:30,Verona,Cisterna,3,0,25 25 27,23 15 25
14.04. 11:00,Trentino,Monza,2,3,18 22 25 26 15,25 25 23 24 17
14.04. 11:00,Lube Civitanova,Cisterna,3,0,25 25 25,18 19 11
14.04. 10:00,Padova,Piacenza,0,3,20 21 19,25 25 25
13.04. 13:30,Verona,Modena,3,0,25 25 25,15 18 22
11.04. 13:30,Milano,Perugia,1,3,25 24 20 18,18 26 25 25
11.04. 13:30,Monza,Trentino,3,1,22 25 25 25,25 23 23 11
10.04. 13:30,Cisterna,Padova,3,1,19 25 25 25,25 14 21 19
10.04. 13:30,Lube Civitanova,Verona,0,3,22 23 17,25 25 25
10.04. 13:00,Piacenza,Modena,3,1,25 20 25 25,15 25 16 23
07.04. 11:00,Perugia,Milano,3,1,20 25 25 25,25 18 13 21
07.04. 11:00,Modena,Cisterna,3,2,23 25 26 23 15,25 23 24 25 10
07.04. 10:00,Trentino,Monza,2,3,26 22 25 27 13,24 25 27 25 15
07.04. 10:00,Padova,Lube Civitanova,3,0,25 25 25,18 21 23
07.04. 09:00,Piacenza,Verona,3,2,25 23 25 25 15,20 25 27 16 8
04.04. 13:30,Lube Civitanova,Modena,3,1,25 25 10 25,20 19 25 22
03.04. 13:30,Milano,Perugia,3,2,25 25 21 27 20,27 21 25 25 18
03.04. 13:30,Monza,Trentino,1,3,15 25 18 18,25 21 25 25
03.04. 13:30,Cisterna,Piacenza,1,3,21 25 15 20,25 18 25 25
03.04. 12:00,Verona,Padova,3,1,25 25 22 25,18 18 25 21
31.03. 12:00,Perugia,Milano,3,1,25 25 23 25,17 23 25 22
31.03. 11:00,Trentino,Monza,3,0,27 25 25,25 20 22
27.03. 14:30,Lube Civitanova,Monza,1,3,23 23 25 22,25 25 20 25
27.03. 14:30,Piacenza,Milano,0,3,21 21 22,25 25 25
24.03. 14:30,Milano,Piacenza,3,2,28 25 25 27 15,30 27 23 25 6
24.03. 12:00,Monza,Lube Civitanova,2,3,18 25 22 25 13,25 23 25 18 15
17.03. 12:00,Lube Civitanova,Monza,3,2,21 30 21 25 15,25 28 25 22 11
17.03. 12:00,Perugia,Verona,3,2,25 25 22 15 17,22 20 25 25 15
17.03. 11:00,Trentino,Modena,3,0,25 25 25,22 19 21
16.03. 12:00,Piacenza,Milano,3,2,25 23 17 31 15,22 25 25 29 12
10.03. 14:30,Verona,Perugia,1,3,25 21 16 15,21 25 25 25
10.03. 13:00,Milano,Piacenza,1,3,25 20 21 14,22 25 25 25
10.03. 12:00,Monza,Lube Civitanova,3,1,24 25 25 25,26 18 21 20
10.03. 10:00,Modena,Trentino,2,3,22 28 25 19 13,25 26 15 25 15
06.03. 13:30,Lube Civitanova,Monza,1,3,26 25 11 20,28 20 25 25
06.03. 13:30,Perugia,Verona,3,1,23 25 25 25,25 16 21 19
06.03. 13:30,Piacenza,Milano,2,3,25 21 25 22 10,20 25 19 25 15
06.03. 13:30,Trentino,Modena,3,0,25 25 25,23 18 18
03.03. 11:00,Milano,Perugia,3,2,25 25 17 25 15,22 27 25 23 13
03.03. 11:00,Piacenza,Modena,3,1,25 24 25 25,23 26 17 15
03.03. 11:00,Saturnia Acicastello,Taranto,3,1,25 25 24 25,18 20 26 21
03.03. 11:00,Trentino,Padova,1,3,23 25 19 20,25 21 25 25
03.03. 11:00,Verona,Lube Civitanova,0,3,25 19 22,27 25 25
03.03. 10:30,Monza,Cisterna,3,0,25 25 25,22 22 18
25.02. 11:00,Cisterna,Verona,0,3,22 19 26,25 25 28
25.02. 11:00,Modena,Saturnia Acicastello,3,1,20 25 25 25,25 22 15 12
25.02. 11:00,Perugia,Trentino,3,1,27 25 22 25,25 20 25 17
25.02. 10:00,Taranto,Milano,1,3,29 22 14 21,27 25 25 25
25.02. 09:00,Lube Civitanova,Piacenza,0,3,21 27 22,25 29 25
24.02. 11:00,Padova,Monza,1,3,20 18 25 13,25 25 23 25
18.02. 12:00,Milano,Verona,3,0,25 25 25,20 23 16
18.02. 11:00,Lube Civitanova,Cisterna,3,2,23 20 25 25 15,25 25 17 18 11
18.02. 11:00,Trentino,Modena,3,0,25 25 25,22 17 22
18.02. 09:00,Padova,Perugia,0,3,17 21 23,25 25 25
17.02. 11:00,Piacenza,Taranto,2,3,23 25 21 29 13,25 21 25 27 15
17.02. 10:30,Monza,Saturnia Acicastello,3,0,25 25 25,17 19 17
14.02. 13:30,Cisterna,Perugia,1,3,19 25 22 18,25 22 25 25
14.02. 13:30,Modena,Taranto,3,2,22 25 25 25 15,25 19 21 27 9
14.02. 13:30,Saturnia Acicastello,Padova,2,3,23 25 20 25 11,25 21 25 19 15
14.02. 13:30,Trentino,Lube Civitanova,3,1,25 19 25 25,22 25 19 21
14.02. 13:30,Verona,Piacenza,3,1,25 25 20 25,22 15 25 21
14.02. 13:00,Milano,Monza,1,3,21 23 25 16,25 25 20 25
11.02. 12:00,Modena,Cisterna,3,0,25 25 25,18 18 21
11.02. 11:00,Padova,Milano,3,2,25 22 25 21 18,23 25 22 25 16
11.02. 11:00,Taranto,Lube Civitanova,1,3,25 22 22 28,23 25 25 30
11.02. 09:00,Perugia,Verona,2,3,20 25 14 25 13,25 21 25 17 15
10.02. 11:30,Saturnia Acicastello,Trentino,0,3,15 20 17,25 25 25
10.02. 10:30,Piacenza,Monza,2,3,21 25 23 25 11,25 19 25 20 15
04.02. 13:00,Taranto,Cisterna,1,3,26 17 23 20,24 25 25 25
04.02. 11:00,Lube Civitanova,Modena,3,0,25 27 25,21 25 23
04.02. 11:00,Piacenza,Perugia,3,1,18 25 25 25,25 22 17 18
03.02. 13:00,Monza,Trentino,0,3,12 17 17,25 25 25
03.02. 11:30,Milano,Saturnia Acicastello,3,0,26 25 25,24 19 17
03.02. 11:00,Verona,Padova,3,0,25 25 25,19 23 20
25.01. 13:30,Padova,Modena,3,1,25 25 22 25,22 23 25 23
24.01. 13:30,Cisterna,Piacenza,3,1,23 25 25 25,25 23 22 19
24.01. 13:30,Monza,Verona,2,3,25 26 23 22 11,23 24 25 25 15
24.01. 13:30,Perugia,Taranto,3,0,25 25 25,18 23 20
24.01. 13:30,Saturnia Acicastello,Lube Civitanova,2,3,25 14 28 15 10,13 25 26 25 15
24.01. 13:30,Trentino,Milano,3,0,25 25 25,21 19 21
21.01. 12:00,Cisterna,Padova,3,1,21 25 25 25,25 18 20 14
21.01. 11:00,Lube Civitanova,Milano,3,2,25 27 22 15 15,19 25 25 25 12
